real_hb,real_ch,,simulation_hb,,simulation_ch
1052,5997,2,104,42,2562
1423,7736,5,260,61,3721
2714,9720,7,364,89,5429
3554,11821,9,468,119,7259
4586,14411,17,884,160,9760
5806,17238,26,1352,209,12749
7153,20471,42,2184,262,15982
9074,24363,61,3172,337,20557
11177,28060,89,4628,415,25315
13522,31211,119,6188,504,30744
16678,34598,160,8320,616,37576
19655,37251,209,10868,711,43371
22112,40235,262,13624,827,50447
24953,42708,337,17524,919,56059
27100,44730,415,21580,998,60878
29631,59882,504,26208,1051,64111
31728,63932,616,32032,1111,67771
33366,66576,711,36972,1148,70028
48206,68584,827,43004,1184,72224
51986,70635,919,47788,1204,73444
54406,72528,998,51896,1228,74908
56249,74279,1051,54652,1244,75884
58182,75002,1111,57772,1252,76372
59989,75993,1148,59696,1259,76799
61682,76392,1184,61568,1263,77043
62457,77041,1204,62608,1267,77287
63088,77262,1228,63856,1274,77714
63454,77779,1244,64688,1285,78385
64084,78190,1252,65104,1287,78507
64287,78630,1259,65468,1288,78568
64786,78959,1263,65676,1289,78629
65187,79389,1267,65884,1290,78690
65596,79968,1274,66248,1293,78873
65914,80174,1285,66820,1294,78934
66337,80302,1287,66924,1299,79239
66907,80422,1288,66976,1300,79300
67103,80565,1289,67028,1301,79361
67217,80710,1290,67080,1304,79544
67332,80813,1293,67236,1308,79788
67466,80859,1294,67288,1312,80032
67592,80904,1299,67548,1316,80276
67666,80924,1300,67600,1316,80276
67707,80955,1301,67652,1316,80276
67743,80992,1304,67808,1318,80398
67760,81003,1308,68016,1323,80703
67773,81021,1312,68224,1325,80825
67781,81048,1316,68432,1326,80886
67786,81077,1316,68432,1327,80947
67790,81116,1316,68432,1328,81008
67794,81151,1318,68536,1332,81252
67798,81235,1323,68796,1334,81374
67798,81300,1325,68900,1337,81557
67800,81416,1326,68952,1343,81923
67800,81498,1327,69004,1346,82106
67800,81600,1328,69056,1349,82289
67800,81747,1332,69264,1351,82411
67800,81846,1334,69368,1352,82472
67800,81960,1337,69524,1356,82716
67801,82078,1343,69836,1357,82777
67801,82213,1346,69992,1357,82777
67801,82341,1349,70148,1357,82777
67801,82447,1351,70252,1357,82777
67801,82545,1352,70304,1357,82777
67801,82631,1356,70512,1357,82777
67801,82724,1357,70564,1359,82899
67801,82802,1357,70564,1360,82960
67802,82861,1357,70564,1362,83082
67802,82930,1357,70564,1363,83143
67802,83005,1357,70564,1363,83143
67803,83071,1357,70564,1363,83143
67803,83157,1359,70668,1363,83143
67803,83249,1360,70720,1363,83143
67803,83305,1362,70824,1363,83143
67803,83369,1363,70876,1364,83204
67803,83482,1363,70876,1364,83204
67803,83602,1363,70876,1365,83265
67803,83696,1363,70876,1366,83326
67803,83745,1363,70876,1366,83326
67803,83797,1363,70876,1368,83448
67803,83824,1364,70928,1370,83570
67803,84180,1364,70928,1370,83570
67803,84201,1365,70980,1370,83570
68128,84237,1366,71032,1371,83631
68128,84250,1366,71032,1375,83875
68128,84287,1368,71136,1377,83997
68128,84302,1370,71240,1377,83997
68128,84311,1370,71240,1377,83997
68128,84324,1370,71240,1379,84119
68128,84338,1371,71292,1379,84119
68128,84341,1375,71500,1379,84119
68128,84347,1377,71604,1379,84119
68128,84369,1377,71604,1379,84119
