susceptible,exposed,infected,recovered
1499,0,1,0
1499,0,1,0
1499,0,1,0
1498,1,1,0
1498,1,1,0
1497,2,1,0
1496,2,2,0
1494,4,2,0
1491,7,2,0
1490,7,3,0
1485,8,6,1
1481,10,8,1
1475,15,9,1
1472,15,12,1
1465,19,15,1
1458,22,19,1
1450,24,25,1
1442,26,31,1
1421,39,39,1
1410,46,43,1
1389,54,56,1
1361,67,71,1
1333,81,84,2
1292,106,99,3
1253,125,117,5
1223,128,144,5
1178,145,170,7
1143,140,207,10
1095,155,235,15
1044,170,265,21
999,174,300,27
940,193,331,36
887,196,370,47
838,197,409,56
790,197,444,69
733,200,480,87
686,196,518,100
636,180,565,119
580,185,594,141
521,195,624,160
465,205,639,191
423,186,677,214
383,180,687,250
329,181,713,277
290,162,733,315
253,154,745,348
211,158,732,399
185,135,746,434
156,123,745,476
135,101,739,525
109,93,722,576
85,93,694,628
68,88,657,687
55,69,640,736
46,60,605,789
32,45,567,856
25,39,526,910
22,34,480,964
14,29,452,1005
11,23,410,1056
8,15,379,1098
8,12,346,1134
8,8,321,1163
8,2,287,1203
8,1,251,1240
6,3,208,1283
6,1,178,1315
5,2,150,1343
4,2,134,1360
4,1,114,1381
4,1,95,1400
4,1,75,1420
4,1,62,1433
4,1,48,1447
4,0,34,1462
4,0,24,1472
4,0,18,1478
4,0,16,1480
4,0,14,1482
4,0,8,1488
4,0,7,1489
4,0,3,1493
4,0,3,1493
4,0,2,1494
4,0,2,1494
4,0,2,1494
4,0,2,1494
4,0,1,1495
4,0,0,1496
